steering_angle,waypoint1_lat,waypoint1_lon,waypoint2_lat,waypoint2_lon,waypoint3_lat,waypoint3_lon,waypoint4_lat,waypoint4_lon,waypoint5_lat,waypoint5_lon,waypoint6_lat,waypoint6_lon,waypoint7_lat,waypoint7_lon,waypoint8_lat,waypoint8_lon,waypoint9_lat,waypoint9_lon
23.0,0.5582454672053396,-0.06566436555311962,1.7361056518746298,-0.1018363578745266,3.6673492258434583,-0.10066173248032498,5.871682258902814,-0.05834784215463285,8.695204359141519,-0.006849465229471038,11.51358152481049,0.0960481462340444,14.702191456554576,0.13800812206573096,17.471173434083674,0.1473340883080733,20.39998197177188,0.059847816375227125
23.0,0.6420081973695444,-0.06637195499765396,1.9045749696501393,-0.12062994643979628,3.8705562044040542,-0.101086283736063,6.116307925845289,-0.05799404540436134,8.93272333677836,0.04140812911956128,11.814412986670497,0.09072707251600731,14.992881077761554,0.13066334516076805,17.743929763670746,0.13946569856633398,20.658487903716086,0.05015385525181718
23.0,0.1190000784715869,-0.04454987817304365,0.8388857760794416,-0.08611371741661708,2.2058691028323643,-0.12171962999596687,4.272750560684626,-0.08990635934077024,6.609723340646371,-0.05854596140065215,9.50033335799922,0.03399259007129823,12.675211081016279,0.11109147351604601,15.561157358580585,0.11740312235640196,18.531588156710423,0.12955944553140475
23.0,0.14515048560223268,-0.045158405513418556,0.943987090616593,-0.08478344686699543,2.3696006251859645,-0.12188944896598244,4.491966101635371,-0.08895818644953983,7.0846687587346695,-0.03835135253550013,9.793336354400525,0.029732901300172032,12.973877222511138,0.10432691852710131,15.815739801497932,0.15319295516269893,18.79919953615125,0.12283735083201497
23.0,0.17494677125221267,-0.0457810847452521,1.0546219994141508,-0.08317014011749614,2.7164220044389875,-0.11461541870969356,4.714161273772072,-0.08727412018672918,7.351558360188962,-0.0401627803038272,10.047789248978468,0.07215995178376364,13.270970267968883,0.09814258694112062,16.09969287235361,0.14692371359841963,19.06921682869224,0.11471423150910061
23.0,0.2717939577216308,-0.056493999284234146,1.1737516266148815,-0.08342487120334795,2.8962731341061985,-0.11506827357468496,4.928213360926865,-0.07298080510958975,7.621760719280173,-0.04045996642708211,10.343438746983933,0.07013624378235504,13.548649461620013,0.11983725964551116,16.38162867980639,0.14007424991959375,19.33412618662166,0.10756758487984747
23.0,0.32416879838525053,-0.0560694448213132,1.3144974432172174,-0.1004211833077799,3.081121157459322,-0.11327099235536617,5.15738567200385,-0.07316477620590367,7.8525431439013165,-0.004104018817406613,10.642438013016857,0.06669735751544312,13.845057748618167,0.11386520465544094,16.662176458671418,0.13308326906347875,19.598369290056404,0.0985812090494158
23.0,0.38241036036801573,-0.055630738419399334,1.4454345433934848,-0.1006476103844427,3.265395462467927,-0.1017089707849985,5.391073698366858,-0.07281097906216485,8.126465408763746,-0.004769152788253628,10.942251591015067,0.06245181984182535,14.140040997853738,0.10828939992118816,16.911151279450777,0.16448604693500762,19.8617610735686,0.08699090883312982
23.0,0.46952285963966794,-0.06577758072964504,1.5831452087041218,-0.10052024221528506,3.4592934128527486,-0.1002654847692494,5.630424867791819,-0.07316477160315235,8.403792968043625,-0.006736251172833846,11.203903711078475,0.10165225609305013,14.434061881078382,0.1019777032539761,17.18762751869546,0.15596667437933795,20.129539017249474,0.071041865430135
23.0,0.5488994261665552,-0.06526811493878927,1.7267596111020411,-0.1014401074095215,3.6580031857918476,-0.10026548213406095,5.862336218546926,-0.05795159191895644,8.685858319463572,-0.006453215144983667,11.504235483870538,0.09644439616716532,14.692845416604575,0.13840437183947468,17.46182739328545,0.14773033792794196,20.390635930514552,0.060244065839551476
23.0,0.6326621568330058,-0.06597570445291318,1.895228929395035,-0.12023369601551838,3.861210164284561,-0.10069003339853921,6.1069618860976025,-0.057597795187447315,8.923377295573719,0.0418043791874639,11.805066946081462,0.09112332243350299,14.983535037864259,0.1310595949161452,17.73458372347391,0.13986194817668962,20.649141863397826,0.05055010470618002
23.0,0.7220510187770555,-0.06873530524516579,2.0482633997906974,-0.12235646360733499,4.058587432948257,-0.09051488915503504,6.356436392908812,-0.05824877577193771,9.209310612260307,0.038393797085354606,12.106342577552104,0.0856465794801726,15.272873646358262,0.12425258596344566,18.262089060255626,0.1372863162278795,20.906592896016015,0.04047404664616852
23.0,0.12101734310759389,-0.02282685930391944,0.9198539478730957,-0.06245190301721451,2.3454674826813036,-0.09955790938371106,4.467832958404927,-0.06662665315926265,7.060535616790796,-0.01601982696768079,9.769203211090954,0.05206441881050955,12.949744080063093,0.12665842657819237,15.7916066609766,0.17552445477889211,18.77506639485559,0.1451688415657355
23.0,0.1508136291090894,-0.023449538624372147,1.03048885757866,-0.06083859666500597,2.6922888617279925,-0.09228388015441562,4.690028131096592,-0.06494258755834051,7.327425217693835,-0.017831255528602295,10.023656106346804,0.09449146853825276,13.246837125684634,0.12047409410711196,16.075559731026797,0.16925521236540403,19.045083686868793,0.1370457214363377
23.0,0.2476608154271142,-0.03416245349052598,1.1496184847810966,-0.06109332811263542,2.8721399915111476,-0.09273673555417106,4.904080217394996,-0.05064927311316165,7.597627577551567,-0.018128442457988763,10.319305604547132,0.092467759658518,13.524516319459678,0.14216876598817788,16.35749553704653,0.16240574783495412,19.309993044629874,0.12989907401829476
23.0,0.3000356552180137,-0.03373789906930674,1.2903643013191572,-0.07808964059876919,3.056988014616893,-0.09093945488475808,5.1332525300067635,-0.05083324491515677,7.828410001326677,0.018227504469390896,10.618304870846124,0.08902887250341054,13.82092460702015,0.13619671012264248,16.63804331685537,0.1554147661492292,19.574236148070728,0.12091269740215145
23.0,0.35827721842102295,-0.0332991930373605,1.421301401092217,-0.07831606806214172,3.2412623192370194,-0.0793774338367447,5.3669405555998315,-0.05047944845313906,8.102332266445588,0.01756236968137171,10.918118448873313,0.08478333394146194,14.115907856225077,0.13062090450860206,16.887018138376753,0.18681754328804312,19.837627931180112,0.109322396400531
